country;sensor_id;sensor_name
Netherlands;4275843;no µg/m³
Netherlands;4496;no2 µg/m³
Netherlands;4635;o3 µg/m³
Netherlands;91;pm10 µg/m³
Netherlands;4519;so2 µg/m³
United States;93;no2 ppm
United States;94;o3 ppm
Chile;9210;co µg/m³
Chile;9211;no2 µg/m³
Chile;9213;o3 µg/m³
Chile;1379;pm10 µg/m³
Chile;95;pm25 µg/m³
Chile;9215;so2 µg/m³
Thailand;98;co ppm
Thailand;99;no2 ppm
Thailand;96;o3 ppm
Thailand;97;pm10 µg/m³
Chile;9187;co µg/m³
Chile;103;no2 µg/m³
Chile;102;o3 µg/m³
Chile;100;pm10 µg/m³
Chile;104;pm25 µg/m³
Chile;101;so2 µg/m³
Chile;5294;pm10 µg/m³
Chile;105;pm25 µg/m³
Chile;655;so2 µg/m³
Chile;19858;co µg/m³
Chile;2171;o3 µg/m³
Chile;5187;pm10 µg/m³
Chile;106;pm25 µg/m³
Chile;19857;so2 µg/m³
Netherlands;4276107;no µg/m³
Netherlands;109;no2 µg/m³
Netherlands;4139;o3 µg/m³
Netherlands;4196;pm10 µg/m³
Netherlands;4610;pm25 µg/m³
Chile;110;pm10 µg/m³
Chile;3538;pm25 µg/m³
Chile;4422;co µg/m³
Chile;4425;no2 µg/m³
Chile;4428;o3 µg/m³
Chile;3511;pm10 µg/m³
Chile;1738;pm25 µg/m³
Chile;111;so2 µg/m³
Netherlands;112;pm10 µg/m³
Netherlands;4275734;no µg/m³
Netherlands;4155;no2 µg/m³
Netherlands;4152;o3 µg/m³
Netherlands;4537;pm10 µg/m³
Netherlands;115;pm25 µg/m³
Netherlands;4150;so2 µg/m³
Netherlands;4276124;no µg/m³
Netherlands;116;no2 µg/m³
Netherlands;4218;o3 µg/m³
Netherlands;4219;pm10 µg/m³
Netherlands;4221;pm25 µg/m³
Netherlands;1301476;so2 µg/m³
Netherlands;4608;no2 µg/m³
Netherlands;4621;pm10 µg/m³
Netherlands;118;pm25 µg/m³
Netherlands;164;co µg/m³
Netherlands;4275959;no µg/m³
Netherlands;4244;no2 µg/m³
Netherlands;4186;o3 µg/m³
Netherlands;119;pm10 µg/m³
Netherlands;4235;pm25 µg/m³
Chile;5127;co µg/m³
Chile;120;o3 µg/m³
Chile;5410;pm10 µg/m³
Chile;5155;so2 µg/m³
Netherlands;4276054;no µg/m³
Netherlands;4585;no2 µg/m³
Netherlands;4561;o3 µg/m³
Netherlands;121;pm10 µg/m³
Netherlands;4275730;no µg/m³
Netherlands;4411;no2 µg/m³
Netherlands;4413;o3 µg/m³
Netherlands;132;pm10 µg/m³
Netherlands;133;pm10 µg/m³
Netherlands;134;pm10 µg/m³
Mongolia;13218;co µg/m³
Mongolia;607;no2 µg/m³
Mongolia;5334;o3 µg/m³
Mongolia;143;pm10 µg/m³
Mongolia;5378;so2 µg/m³
Netherlands;4230;co µg/m³
Netherlands;4276167;no µg/m³
Netherlands;151;no2 µg/m³
Netherlands;4224;pm10 µg/m³
Netherlands;4212;pm25 µg/m³
Thailand;155;co ppm
Thailand;154;no2 ppm
Thailand;152;o3 ppm
Thailand;153;pm10 µg/m³
Thailand;156;so2 ppm
Netherlands;157;co µg/m³
Netherlands;4275709;no µg/m³
Netherlands;4364;no2 µg/m³
Netherlands;4461;o3 µg/m³
Netherlands;4383;pm10 µg/m³
Netherlands;4390;pm25 µg/m³
Netherlands;167;co µg/m³
Netherlands;4275778;no µg/m³
Netherlands;4280;no2 µg/m³
Netherlands;4290;pm10 µg/m³
Netherlands;4367;pm25 µg/m³
Netherlands;158;so2 µg/m³
Netherlands;165;co µg/m³
Netherlands;4276088;no µg/m³
Netherlands;4570;no2 µg/m³
Netherlands;4565;pm10 µg/m³
Netherlands;4541;pm25 µg/m³
Netherlands;159;so2 µg/m³
Netherlands;4700;pm10 µg/m³
Netherlands;4344;pm25 µg/m³
Netherlands;160;so2 µg/m³
Netherlands;161;pm25 µg/m³
Netherlands;162;co µg/m³
Netherlands;4275786;no µg/m³
Netherlands;4237;no2 µg/m³
Netherlands;4231;pm10 µg/m³
Netherlands;4147;pm25 µg/m³
Netherlands;4275834;no µg/m³
Netherlands;4187;no2 µg/m³
Netherlands;4112;pm10 µg/m³
Netherlands;4687;pm25 µg/m³
Netherlands;163;so2 µg/m³
Netherlands;166;co µg/m³
Netherlands;4276086;no µg/m³
Netherlands;4370;no2 µg/m³
Netherlands;4369;pm10 µg/m³
Netherlands;4215;pm25 µg/m³
India;169;co µg/m³
India;13863;no2 µg/m³
India;168;o3 µg/m³
India;13862;pm10 µg/m³
India;13861;pm25 µg/m³
Thailand;5079219;no2 ppm
Thailand;5079221;o3 ppm
Thailand;5079218;pm10 µg/m³
Thailand;5077838;pm25 µg/m³
Thailand;5079220;so2 ppm
Chile;209;co µg/m³
Chile;210;o3 µg/m³
Chile;208;pm10 µg/m³
Chile;207;so2 µg/m³
United Kingdom;1304749;no2 µg/m³
United Kingdom;1304758;pm10 µg/m³
United Kingdom;211;pm25 µg/m³
Thailand;378;co ppm
Thailand;444;no2 ppm
Thailand;214;o3 ppm
Thailand;445;pm10 µg/m³
Thailand;443;so2 ppm
Chile;215;pm25 µg/m³
Chile;216;pm25 µg/m³
United Kingdom;237;no2 µg/m³
United Kingdom;259;o3 µg/m³
United Kingdom;217;pm10 µg/m³
United Kingdom;261;pm25 µg/m³
China;218;pm25 µg/m³
China;219;pm25 µg/m³
China;220;pm25 µg/m³
Chile;223;co µg/m³
Chile;222;no2 µg/m³
Chile;224;o3 µg/m³
Chile;225;pm10 µg/m³
Chile;226;pm25 µg/m³
Chile;221;so2 µg/m³
United Kingdom;251;no2 µg/m³
United Kingdom;227;pm10 µg/m³
United Kingdom;1304692;pm25 µg/m³
United Kingdom;233;no2 µg/m³
United Kingdom;253;o3 µg/m³
United Kingdom;1298329;pm10 µg/m³
United Kingdom;228;pm25 µg/m³
United Kingdom;238;no2 µg/m³
United Kingdom;229;o3 µg/m³
United Kingdom;244;pm10 µg/m³
United Kingdom;232;pm25 µg/m³
United Kingdom;4933;so2 µg/m³
United Kingdom;1304579;no2 µg/m³
United Kingdom;230;pm10 µg/m³
United Kingdom;231;no2 µg/m³
United Kingdom;260;o3 µg/m³
United Kingdom;12626389;pm10 µg/m³
United Kingdom;12626392;pm25 µg/m³
